y	x	group	clickSelects
48.76863	2.48775	3	2009-04-11:15:51:05
48.76995	2.48629	3	2009-04-11:15:51:05
48.7713	2.48492	3	2009-04-11:15:51:05
48.77269	2.48347	3	2009-04-11:15:51:05
48.77405	2.48209	3	2009-04-11:15:51:05
48.77541	2.48068	3	2009-04-11:15:51:05
48.77676	2.47931	3	2009-04-11:15:51:05
48.77811	2.47787	3	2009-04-11:15:51:05
48.77954	2.4764	3	2009-04-11:15:51:05
48.78087	2.47504	3	2009-04-11:15:51:05
48.7823	2.47361	3	2009-04-11:15:51:05
48.78298	2.47291	3	2009-04-11:15:51:05
48.78432	2.47153	3	2009-04-11:15:51:05
48.78565	2.47017	3	2009-04-11:15:51:05
48.78696	2.4688	3	2009-04-11:15:51:05
48.78829	2.46747	3	2009-04-11:15:51:05
48.78939	2.46562	3	2009-04-11:15:51:05
48.7903	2.46365	3	2009-04-11:15:51:05
48.79142	2.46215	3	2009-04-11:15:51:05
48.79293	2.46146	3	2009-04-11:15:51:05
48.79435	2.46033	3	2009-04-11:15:51:05
48.79553	2.45879	3	2009-04-11:15:51:05
48.79682	2.45733	3	2009-04-11:15:51:05
48.79798	2.45574	3	2009-04-11:15:51:05
48.79906	2.45394	3	2009-04-11:15:51:05
48.80007	2.452	3	2009-04-11:15:51:05
48.80099	2.45	3	2009-04-11:15:51:05
48.80201	2.44817	3	2009-04-11:15:51:05
48.80304	2.4463	3	2009-04-11:15:51:05
48.80413	2.44448	3	2009-04-11:15:51:05
48.805	2.44255	3	2009-04-11:15:51:05
48.80601	2.44063	3	2009-04-11:15:51:05
48.80694	2.43873	3	2009-04-11:15:51:05
48.80794	2.43688	3	2009-04-11:15:51:05
48.80898	2.43503	3	2009-04-11:15:51:05
48.80999	2.43314	3	2009-04-11:15:51:05
48.81102	2.43135	3	2009-04-11:15:51:05
48.81208	2.42956	3	2009-04-11:15:51:05
48.81296	2.42746	3	2009-04-11:15:51:05
48.81397	2.42563	3	2009-04-11:15:51:05
48.81458	2.42335	3	2009-04-11:15:51:05
48.81535	2.42118	3	2009-04-11:15:51:05
48.81506	2.41904	3	2009-04-11:15:51:05
48.81456	2.41689	3	2009-04-11:15:51:05
48.81442	2.41449	3	2009-04-11:15:51:05
48.8146	2.41214	3	2009-04-11:15:51:05
48.81458	2.40961	3	2009-04-11:15:51:05
48.81457	2.40712	3	2009-04-11:15:51:05
48.81457	2.40462	3	2009-04-11:15:51:05
48.81457	2.40223	3	2009-04-11:15:51:05
48.8146	2.39977	3	2009-04-11:15:51:05
48.81456	2.39738	3	2009-04-11:15:51:05
48.81464	2.39498	3	2009-04-11:15:51:05
48.81467	2.3927	3	2009-04-11:15:51:05
48.81472	2.39054	3	2009-04-11:15:51:05
48.81358	2.3889	3	2009-04-11:15:51:05
48.81264	2.38699	3	2009-04-11:15:51:05
48.81171	2.38513	3	2009-04-11:15:51:05
48.81136	2.38299	3	2009-04-11:15:51:05
48.81238	2.38138	3	2009-04-11:15:51:05
48.81373	2.37989	3	2009-04-11:15:51:05
