colour	y	x	key	label	showSelected1	showSelected2	showSelected3	group
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-27:06:59:24	end	nearby cities	52
#FF0000	48.3	1	start	start: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-27:16:39:11	start	nearby cities	164
#FF0000	48.2	1	end	end: gentilly (94037), val-de-marne (94), Île-de-France	2009-05-27:16:39:11	end	nearby cities	53
#FF0000	48.3	1	start	start: gentilly (94037), val-de-marne (94), Île-de-France	2009-05-28:08:25:08	start	nearby cities	165
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-28:08:25:08	end	nearby cities	54
#FF0000	48.3	1	start	start: bievres (91064), essonne (91), Île-de-France	2009-05-28:18:53:51	start	nearby cities	166
#FF0000	48.2	1	end	end: gentilly (94037), val-de-marne (94), Île-de-France	2009-05-28:18:53:51	end	nearby cities	55
#FF0000	48.3	1	start	start: paris (75113), paris (75), Île-de-France	2009-05-30:07:22:36	start	nearby cities	167
#FF0000	48.2	1	end	end: gentilly (94037), val-de-marne (94), Île-de-France	2009-05-30:07:22:36	end	nearby cities	56
#FF0000	48.3	1	start	start: gentilly (94037), val-de-marne (94), Île-de-France	2009-05-30:08:29:31	start	nearby cities	168
#FF0000	48.2	1	end	end: perigny sur yerres (94056), val-de-marne (94), Île-de-France	2009-05-30:08:29:31	end	nearby cities	57
#FF0000	48.3	1	start	start: mandres les roses (94047), val-de-marne (94), Île-de-France	2009-05-30:14:48:13	start	nearby cities	169
#FF0000	48.2	1	end	end: paris (75119), paris (75), Île-de-France	2009-05-30:14:48:13	end	nearby cities	58
#FF0000	48.3	1	start	start: paris (75119), paris (75), Île-de-France	2009-05-30:17:58:35	start	nearby cities	170
#FF0000	48.2	1	end	end: nanterre (92050), hauts-de-seine (92), Île-de-France	2009-05-30:17:58:35	end	nearby cities	59
#FF0000	48.3	1	start	start: nanterre (92050), hauts-de-seine (92), Île-de-France	2009-05-30:21:33:48	start	nearby cities	171
#FF0000	48.2	1	end	end: ecouen (95205), val-d'oise (95), Île-de-France	2009-05-30:21:33:48	end	nearby cities	60
#FF0000	48.3	1	start	start: jouy en josas (78322), yvelines (78), Île-de-France	2009-06-02:17:17:15	start	nearby cities	172
#FF0000	48.2	1	end	end: paris (75104), paris (75), Île-de-France	2009-06-02:17:17:15	end	nearby cities	61
#FF0000	48.3	1	start	start: bievres (91064), essonne (91), Île-de-France	2009-06-03:20:05:43	start	nearby cities	173
#FF0000	48.2	1	end	end: paris (75111), paris (75), Île-de-France	2009-06-03:20:05:43	end	nearby cities	62
#FF0000	48.3	1	start	start: gentilly (94037), val-de-marne (94), Île-de-France	2009-06-05:07:34:48	start	nearby cities	174
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-06-05:07:34:48	end	nearby cities	63
#FF0000	48.3	1	start	start: paris (75114), paris (75), Île-de-France	2009-06-07:10:23:12	start	nearby cities	175
#FF0000	48.2	1	end	end: gentilly (94037), val-de-marne (94), Île-de-France	2009-06-07:10:23:12	end	nearby cities	64
#FF0000	48.3	1	start	start: paris (75103), paris (75), Île-de-France	2009-06-14:04:41:58	start	nearby cities	176
#FF0000	48.2	1	end	end: meaux (77284), seine-et-marne (77), Île-de-France	2009-06-14:04:41:58	end	nearby cities	65
#FF0000	48.3	1	start	start: meaux (77284), seine-et-marne (77), Île-de-France	2009-06-14:08:18:32	start	nearby cities	177
#FF0000	48.2	1	end	end: la ferte milon (02307), aisne (02), Hauts-de-France	2009-06-14:08:18:32	end	nearby cities	66
#FF0000	48.3	1	start	start: la ferte milon (02307), aisne (02), Hauts-de-France	2009-06-14:11:41:19	start	nearby cities	178
#FF0000	48.2	1	end	end: mareuil sur ourcq (60380), oise (60), Hauts-de-France	2009-06-14:11:41:19	end	nearby cities	67
#FF0000	48.3	1	start	start: may en multien (77283), seine-et-marne (77), Île-de-France	2009-06-14:16:15:28	start	nearby cities	179
#FF0000	48.2	1	end	end: meaux (77284), seine-et-marne (77), Île-de-France	2009-06-14:16:15:28	end	nearby cities	68
#FF0000	48.3	1	start	start: pantin (93055), seine-saint-denis (93), Île-de-France	2009-06-18:14:21:13	start	nearby cities	180
#FF0000	48.2	1	end	end: epiais les louvres (95212), val-d'oise (95), Île-de-France	2009-06-18:14:21:13	end	nearby cities	69
#FF0000	48.3	1	start	start: montrouge (92049), hauts-de-seine (92), Île-de-France	2009-06-22:08:55:44	start	nearby cities	181
#FF0000	48.2	1	end	end: orsay (91471), essonne (91), Île-de-France	2009-06-22:08:55:44	end	nearby cities	70
#FF0000	48.3	1	start	start: orsay (91471), essonne (91), Île-de-France	2009-06-22:10:24:12	start	nearby cities	182
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-06-22:10:24:12	end	nearby cities	71
#FF0000	48.3	1	start	start: jouy en josas (78322), yvelines (78), Île-de-France	2009-06-23:16:32:10	start	nearby cities	183
#FF0000	48.2	1	end	end: gentilly (94037), val-de-marne (94), Île-de-France	2009-06-23:16:32:10	end	nearby cities	72
#FF0000	48.3	1	start	start: gentilly (94037), val-de-marne (94), Île-de-France	2009-06-23:20:12:13	start	nearby cities	184
#FF0000	48.2	1	end	end: versailles (78646), yvelines (78), Île-de-France	2009-06-23:20:12:13	end	nearby cities	73
#FF0000	48.3	1	start	start: versailles (78646), yvelines (78), Île-de-France	2009-06-23:22:03:48	start	nearby cities	185
#FF0000	48.2	1	end	end: gentilly (94037), val-de-marne (94), Île-de-France	2009-06-23:22:03:48	end	nearby cities	74
#FF0000	48.3	1	start	start: paris (75105), paris (75), Île-de-France	2009-06-24:11:03:54	start	nearby cities	186
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-06-24:11:03:54	end	nearby cities	75
#FF0000	48.3	1	start	start: paris (75110), paris (75), Île-de-France	2009-06-27:07:55:49	start	nearby cities	187
#FF0000	48.2	1	end	end: st witz (95580), val-d'oise (95), Île-de-France	2009-06-27:07:55:49	end	nearby cities	76
#FF0000	48.3	1	start	start: st witz (95580), val-d'oise (95), Île-de-France	2009-06-27:17:24:36	start	nearby cities	188
#FF0000	48.2	1	end	end: paris (75109), paris (75), Île-de-France	2009-06-27:17:24:36	end	nearby cities	77
#FF0000	48.3	1	start	start: velizy villacoublay (78640), yvelines (78), Île-de-France	2009-07-04:10:46:25	start	nearby cities	189
#FF0000	48.2	1	end	end: septeuil (78591), yvelines (78), Île-de-France	2009-07-04:10:46:25	end	nearby cities	78
#FF0000	48.3	1	start	start: septeuil (78591), yvelines (78), Île-de-France	2009-07-04:14:24:26	start	nearby cities	190
#FF0000	48.2	1	end	end: brezolles (28059), eure-et-loir (28), Centre-Val de Loire	2009-07-04:14:24:26	end	nearby cities	79
#FF0000	48.3	1	start	start: brezolles (28059), eure-et-loir (28), Centre-Val de Loire	2009-07-04:19:12:01	start	nearby cities	191
#FF0000	48.2	1	end	end: les ressuintes (28314), eure-et-loir (28), Centre-Val de Loire	2009-07-04:19:12:01	end	nearby cities	80
#FF0000	48.3	1	start	start: malakoff (92046), hauts-de-seine (92), Île-de-France	2009-07-30:12:11:53	start	nearby cities	192
#FF0000	48.2	1	end	end: ivry sur seine (94041), val-de-marne (94), Île-de-France	2009-07-30:12:11:53	end	nearby cities	81
#FF0000	48.3	1	start	start: neuilly plaisance (93049), seine-saint-denis (93), Île-de-France	2009-08-09:10:28:17	start	nearby cities	193
#FF0000	48.2	1	end	end: paris (75104), paris (75), Île-de-France	2009-08-09:10:28:17	end	nearby cities	82
#FF0000	48.3	1	start	start: paris (75101), paris (75), Île-de-France	2009-08-10:07:34:42	start	nearby cities	194
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-08-10:07:34:42	end	nearby cities	83
#FF0000	48.3	1	start	start: paris (75101), paris (75), Île-de-France	2009-08-11:07:48:30	start	nearby cities	195
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-08-11:07:48:30	end	nearby cities	84
#FF0000	48.3	1	start	start: asnieres sur seine (92004), hauts-de-seine (92), Île-de-France	2009-08-16:06:47:55	start	nearby cities	196
#FF0000	48.2	1	end	end: chantilly (60141), oise (60), Hauts-de-France	2009-08-16:06:47:55	end	nearby cities	85
#FF0000	48.3	1	start	start: chantilly (60141), oise (60), Hauts-de-France	2009-08-16:11:26:17	start	nearby cities	197
#FF0000	48.2	1	end	end: paris (75104), paris (75), Île-de-France	2009-08-16:11:26:17	end	nearby cities	86
#FF0000	48.3	1	start	start: igny (91312), essonne (91), Île-de-France	2009-08-19:17:19:57	start	nearby cities	198
#FF0000	48.2	1	end	end: paris (75101), paris (75), Île-de-France	2009-08-19:17:19:57	end	nearby cities	87
#FF0000	48.3	1	start	start: ivry sur seine (94041), val-de-marne (94), Île-de-France	2009-08-23:06:44:18	start	nearby cities	199
#FF0000	48.2	1	end	end: neufmoutiers en brie (77336), seine-et-marne (77), Île-de-France	2009-08-23:06:44:18	end	nearby cities	88
#FF0000	48.3	1	start	start: neufmoutiers en brie (77336), seine-et-marne (77), Île-de-France	2009-08-23:09:38:53	start	nearby cities	200
#FF0000	48.2	1	end	end: paris (75110), paris (75), Île-de-France	2009-08-23:09:38:53	end	nearby cities	89
#FF0000	48.3	1	start	start: jouy en josas (78322), yvelines (78), Île-de-France	2009-08-27:17:58:03	start	nearby cities	201
#FF0000	48.2	1	end	end: choisy le roi (94022), val-de-marne (94), Île-de-France	2009-08-27:17:58:03	end	nearby cities	90
#FF0000	48.3	1	start	start: choisy le roi (94022), val-de-marne (94), Île-de-France	2009-08-27:21:22:01	start	nearby cities	202
#FF0000	48.2	1	end	end: paris (75104), paris (75), Île-de-France	2009-08-27:21:22:01	end	nearby cities	91
#FF0000	48.3	1	start	start: paris (75104), paris (75), Île-de-France	2009-08-28:06:50:51	start	nearby cities	203
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-08-28:06:50:51	end	nearby cities	92
#FF0000	48.3	1	start	start: paris (75111), paris (75), Île-de-France	2009-08-29:13:08:43	start	nearby cities	204
#FF0000	48.2	1	end	end: paris (75104), paris (75), Île-de-France	2009-08-29:13:08:43	end	nearby cities	93
#FF0000	48.3	1	start	start: paris (75118), paris (75), Île-de-France	2009-08-30:04:29:06	start	nearby cities	205
#FF0000	48.2	1	end	end: pontoise (95500), val-d'oise (95), Île-de-France	2009-08-30:04:29:06	end	nearby cities	94
#FF0000	48.3	1	start	start: st gervais (95554), val-d'oise (95), Île-de-France	2009-08-30:07:22:48	start	nearby cities	206
#FF0000	48.2	1	end	end: rouen (76540), seine-maritime (76), Normandie	2009-08-30:07:22:48	end	nearby cities	95
#FF0000	48.3	1	start	start: rouen (76540), seine-maritime (76), Normandie	2009-08-30:11:55:25	start	nearby cities	207
#FF0000	48.2	1	end	end: port mort (27473), eure (27), Normandie	2009-08-30:11:55:25	end	nearby cities	96
#FF0000	48.3	1	start	start: port mort (27473), eure (27), Normandie	2009-08-30:14:56:52	start	nearby cities	208
#FF0000	48.2	1	end	end: giverny (27285), eure (27), Normandie	2009-08-30:14:56:52	end	nearby cities	97
#FF0000	48.3	1	start	start: giverny (27285), eure (27), Normandie	2009-08-30:16:33:46	start	nearby cities	209
#FF0000	48.2	1	end	end: st cyr en arthies (95543), val-d'oise (95), Île-de-France	2009-08-30:16:33:46	end	nearby cities	98
#FF0000	48.3	1	start	start: paris (75115), paris (75), Île-de-France	2009-09-07:10:08:30	start	nearby cities	210
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-09-07:10:08:30	end	nearby cities	99
#FF0000	48.3	1	start	start: le bourget (93013), seine-saint-denis (93), Île-de-France	2009-09-27:06:11:39	start	nearby cities	211
#FF0000	48.2	1	end	end: senlis (60612), oise (60), Hauts-de-France	2009-09-27:06:11:39	end	nearby cities	100
#FF0000	48.3	1	start	start: senlis (60612), oise (60), Hauts-de-France	2009-09-27:08:19:41	start	nearby cities	212
#FF0000	48.2	1	end	end: paris (75118), paris (75), Île-de-France	2009-09-27:08:19:41	end	nearby cities	101
#FF0000	48.3	1	start	start: paris (75118), paris (75), Île-de-France	2009-09-27:11:04:22	start	nearby cities	213
#FF0000	48.2	1	end	end: paris (75113), paris (75), Île-de-France	2009-09-27:11:04:22	end	nearby cities	102
#FF0000	48.3	1	start	start: paris (75113), paris (75), Île-de-France	2009-09-27:12:53:49	start	nearby cities	214
#FF0000	48.2	1	end	end: buc (78117), yvelines (78), Île-de-France	2009-09-27:12:53:49	end	nearby cities	103
#FF0000	48.3	1	start	start: buc (78117), yvelines (78), Île-de-France	2009-09-27:14:19:10	start	nearby cities	215
#FF0000	48.2	1	end	end: buc (78117), yvelines (78), Île-de-France	2009-09-27:14:19:10	end	nearby cities	104
#FF0000	48.3	1	start	start: paris (75110), paris (75), Île-de-France	2009-10-04:11:35:58	start	nearby cities	216
#FF0000	48.2	1	end	end: villeparisis (77514), seine-et-marne (77), Île-de-France	2009-10-04:11:35:58	end	nearby cities	105
#FF0000	48.3	1	start	start: villeparisis (77514), seine-et-marne (77), Île-de-France	2009-10-04:13:10:21	start	nearby cities	217
